0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0.01;0;0;0;0;0;
0;0;0.01;0;0;0;0;0;
0;0;0.01;0;0;0;0;0;
0.01;0;0.01;0;0;0;0;0;
0.01;0;0.01;0;0.01;0;0;0;
0;0;0.02;0;0;0;0;0;
0.01;0;0.03;0;0;0;0;0;
0.01;0;0.02;0.01;0;0;0;0;
0.01;0;0.04;0;0;0;0;0;
0.02;0;0.04;0;0.01;0;0;0;
0.01;0;0.06;0;0;0;0;0;
0.02;0;0.06;0.01;0;0;0;0;
0.02;0;0.07;0;0;0;0;0;
0.02;0;0.08;0.01;0;0;0;0;
0.02;0.01;0.09;0;0;0;0;0.01;
0.03;0;0.1;0;0;0.01;0;0;
0.03;0;0.11;0.01;0;0;0.01;0;
0.03;0;0.13;0;0.01;0;0;0;
0.03;0.01;0.14;0;0;0;0;0;
0.04;0;0.16;0;0.01;0;0;0;
0.04;0;0.18;0.01;0;0;0.01;0;
0.04;0.01;0.19;0.01;0;0.01;0;0;
0.04;0;0.23;0.01;0;0;0;0;
0.06;0;0.24;0;0.01;0;0;0;
0.04;0;0.24;0.01;0;0;0.01;0;
0.05;0;0.26;0.01;0;0;0;0.01;
0.05;0;0.26;0.01;0;0;0.01;0;
0.06;0;0.29;0.01;0.01;0;0;0;
0.08;0;0.31;0.01;0;0;0.01;0;
0.09;0;0.32;0.01;0;0.01;0;0;
0.08;0;0.34;0.01;0;0;0.01;0;
0.07;0.01;0.37;0;0.01;0;0.01;0;
0.09;0;0.38;0.01;0;0.01;0;0;
0.09;0;0.41;0;0.01;0;0.01;0;
0.09;0.01;0.44;0.01;0;0;0;0.01;
0.11;0;0.46;0.01;0;0;0;0;
0.11;0;0.48;0.01;0.01;0;0;0;
0.12;0;0.51;0.01;0.01;0;0.01;0;
0.11;0;0.55;0;0.01;0.01;0;0;
0.14;0;0.56;0.01;0.01;0;0;0;
0.13;0;0.6;0.01;0.01;0;0;0.01;
0.13;0;0.64;0.01;0.01;0;0.01;0;
0.15;0;0.67;0;0.01;0.01;0;0;
0.15;0.01;0.69;0.01;0.01;0.01;0;0;
0.16;0.01;0.71;0.01;0.01;0;0;0.01;
0.15;0;0.8;0.01;0.01;0;0.01;0;
0.17;0;0.76;0.02;0;0.01;0;0.01;
0.16;0;0.78;0.01;0.01;0;0.01;0;
0.2;0;0.81;0.01;0;0.01;0.01;0;
0.17;0;0.85;0.01;0.01;0;0;0;
0.18;0.01;0.88;0.01;0.01;0.01;0;0;
0.19;0.01;0.91;0.01;0.01;0.01;0;0;
0.2;0;0.95;0.01;0;0.01;0;0;
0.2;0.01;0.99;0.01;0.01;0.01;0;0;
0.21;0.01;1.03;0.01;0.01;0.01;0;0;
0.23;0;1.06;0.02;0;0.01;0.01;0;
0.22;0.01;1.09;0.01;0.01;0;0;0;
0.23;0;1.12;0.02;0;0.01;0.01;0;
0.24;0;1.17;0.01;0.01;0.01;0;0;
0.24;0.01;1.21;0.02;0.01;0.01;0;0;
0.26;0;1.25;0.01;0.01;0.01;0;0.01;
0.26;0;1.29;0.01;0.01;0.01;0.01;0;
0.27;0.01;1.33;0.01;0.01;0;0;0.01;
0.28;0;1.36;0.02;0.01;0.01;0;0.01;
0.29;0.01;1.4;0.02;0.01;0;0.01;0;
0.3;0;1.43;0.02;0.01;0.01;0;0.01;
0.31;0;1.5;0.02;0.01;0.01;0;0.01;
0.32;0;1.54;0.02;0.01;0.01;0;0.01;
0.32;0.01;1.58;0.02;0;0.01;0.01;0;
0.37;0.01;1.63;0.01;0;0;0.01;0;
0.34;0;1.68;0.02;0.01;0.01;0.01;0;
0.35;0;1.75;0.02;0;0.01;0.01;0;
0.38;0;1.78;0.02;0.01;0.01;0;0.01;
0.38;0.01;1.83;0.01;0;0;0.01;0.01;
0.39;0;1.86;0.02;0.01;0.01;0.01;0;
0.4;0.01;1.91;0.02;0.01;0.01;0;0;
0.41;0;1.96;0.02;0.01;0.01;0.01;0;
0.41;0;2.02;0.02;0.02;0;0.01;0.01;
0.43;0.01;2.07;0.01;0;0.01;0.01;0;
0.43;0.01;2.12;0.02;0.01;0.01;0.01;0;
0.45;0.01;2.18;0.02;0;0.01;0;0.01;
0.46;0.01;2.24;0.02;0.01;0.01;0.01;0.01;
0.47;0.01;2.28;0.02;0.02;0;0.02;0;
0.48;0;2.31;0.03;0;0.01;0;0;
0.48;0.01;2.36;0.02;0.02;0;0.02;0;
0.51;0.01;2.46;0.02;0.01;0.01;0.01;0;
0.52;0.01;2.49;0.02;0.01;0.02;0.01;0;
0.53;0.01;2.58;0.02;0.01;0.01;0.01;0.01;
0.54;0;2.6;0.02;0.01;0.01;0.01;0;
0.56;0.01;2.66;0.02;0.01;0.01;0;0.01;
0.57;0.01;2.72;0.02;0.01;0.02;0;0;
0.58;0.01;2.76;0.03;0.01;0.01;0.01;0.01;
0.59;0.01;2.85;0.02;0.01;0;0.02;0;
0.61;0.01;2.94;0.02;0.01;0.01;0.02;0;
0.62;0.01;2.99;0.03;0.01;0.01;0.01;0.01;
0.65;0;3.04;0.03;0.01;0.01;0.01;0.01;
0.63;0.01;3.08;0.03;0.01;0.01;0.01;0.01;
0.73
